date,value
2015-01-02,141.49
2015-01-09,141.02
2015-01-16,139.05
2015-01-23,141.2971
2015-01-30,136.85
2015-02-06,141.24
2015-02-13,144.77
2015-02-20,144.94
2015-02-27,145.09
2015-03-06,142.84
2015-03-13,141.16
2015-03-20,143.07
2015-03-27,140.01
2015-04-03,140.14
2015-04-10,143.1
2015-04-17,141.69
2015-04-24,145.33
2015-05-01,144.83
2015-05-08,145.89
2015-05-15,146.26
2015-05-22,146.8129
2015-05-29,145.44
2015-06-05,144.0901
2015-06-12,144.3501
2015-06-19,144.71
2015-06-26,144.1
2015-07-03,142.45
2015-07-10,142.97
2015-07-17,148.29
2015-07-24,144.92
2015-07-31,146.18
2015-08-07,143.64
2015-08-14,144.49
2015-08-21,136.0
2015-08-28,137.3401
2015-09-04,133.18
2015-09-11,135.63
2015-09-18,135.11
2015-09-25,133.67
2015-10-02,134.91
2015-10-09,139.19
2015-10-16,141.28
2015-10-23,145.58
2015-10-30,145.96
2015-11-06,148.02
2015-11-13,142.88
2015-11-20,147.53
2015-11-27,147.4
2015-12-04,148.15
2015-12-11,142.92
2015-12-18,142.25
2015-12-25,145.65
2016-01-01,144.58
2016-01-08,136.12
2016-01-15,133.84
2016-01-22,135.95
2016-01-29,138.52
2016-02-05,134.18
2016-02-12,134.07
2016-02-19,137.22
2016-02-26,138.6801
2016-03-04,141.81
2016-03-11,143.37
2016-03-18,143.95
2016-03-25,143.82
2016-04-01,146.33
2016-04-08,145.0
2016-04-15,147.2
2016-04-22,147.62
2016-04-29,145.21
2016-05-06,145.1
2016-05-13,144.63
2016-05-20,145.1
2016-05-27,148.44
2016-06-03,148.4587
2016-06-10,148.18
2016-06-17,145.37
2016-06-24,143.4499
2016-07-01,148.25
2016-07-08,150.34
2016-07-15,152.24
2016-07-22,153.37
2016-07-29,153.52
2016-08-05,154.32
2016-08-12,154.33
2016-08-19,153.9901
2016-08-26,153.21
2016-09-02,154.09
2016-09-09,150.82
2016-09-16,151.46
2016-09-23,152.9499
2016-09-30,152.77
2016-10-07,152.481
2016-10-14,151.35
2016-10-21,151.14
2016-10-28,150.333
2016-11-04,147.03
2016-11-11,152.17
2016-11-18,152.87
2016-11-25,154.7
2016-12-02,153.02
2016-12-09,158.1
2016-12-16,158.44
2016-12-23,159.06
2016-12-30,157.54
2017-01-06,160.3899
2017-01-13,159.8199
2017-01-20,159.19
2017-01-27,160.77
2017-02-03,161.13
2017-02-10,162.31
2017-02-17,165.3639
2017-02-24,166.9837
2017-03-03,168.81
2017-03-10,168.93
2017-03-17,168.14
2017-03-24,165.89
2017-03-31,167.03
2017-04-07,166.79
2017-04-14,164.87
2017-04-21,165.7717
2017-04-28,168.8496
2017-05-05,170.08
2017-05-12,169.86
2017-05-19,168.89
2017-05-26,171.34
2017-06-02,172.57
2017-06-09,172.1
2017-06-16,171.55
2017-06-23,172.4613
2017-06-30,171.16
2017-07-07,171.2856
2017-07-14,173.69
2017-07-21,174.54
2017-07-28,174.78
2017-08-04,175.91
2017-08-11,173.96
2017-08-18,173.0
2017-08-25,174.15
2017-09-01,176.85
2017-09-08,175.1801
2017-09-15,176.921
2017-09-22,177.08
2017-09-29,177.96
2017-10-06,180.1768
2017-10-13,180.45
2017-10-20,181.7128
2017-10-27,183.26
2017-11-03,184.01
2017-11-10,183.77
2017-11-17,182.69
2017-11-24,185.0
2017-12-01,187.92
2017-12-08,188.71
2017-12-15,190.56
2017-12-22,191.01
2017-12-29,190.02
2018-01-05,194.99
2018-01-12,198.02
2018-01-19,199.89
2018-01-26,204.48
2018-02-02,196.8119
2018-02-09,186.3
2018-02-16,195.25
2018-02-23,196.33
2018-03-02,192.9922
2018-03-09,199.08
2018-03-16,196.1501
2018-03-23,182.82
2018-03-30,186.76
2018-04-06,184.2
2018-04-13,188.26
2018-04-20,188.57
2018-04-27,188.8
2018-05-04,189.11
2018-05-11,194.312
2018-05-18,192.65
2018-05-25,193.19
2018-06-01,194.6205
2018-06-08,197.9358
2018-06-15,196.744
2018-06-22,195.4924
2018-06-29,192.73
2018-07-06,195.5874
2018-07-13,199.54
2018-07-20,199.77
2018-07-27,200.97
2018-08-03,203.272
2018-08-10,203.5367
2018-08-17,204.55
2018-08-24,206.12
2018-08-31,208.92
2018-09-07,206.2
2018-09-14,208.75
2018-09-21,210.21
2018-09-28,209.16
2018-10-05,207.3
2018-10-12,200.01
2018-10-19,200.63
2018-10-26,192.8
2018-11-02,195.87
2018-11-09,200.35
2018-11-16,196.19
2018-11-23,187.04
2018-11-30,197.94
2018-12-07,189.03
2018-12-14,186.87
2018-12-21,173.36
2018-12-28,178.0713
2019-01-04,181.54
2019-01-11,185.04
2019-01-18,190.3752
2019-01-25,189.37
2019-02-01,192.1372
2019-02-08,191.9986
2019-02-15,196.5386
2019-02-22,198.18
2019-03-01,199.56
2019-03-08,196.63
2019-03-15,202.8
2019-03-22,201.4
2019-03-29,202.9
2019-04-05,207.0516
2019-04-12,208.1952
2019-04-19,209.68
2019-04-26,212.34
2019-05-03,212.49
2019-05-10,206.9938
2019-05-17,206.3
2019-05-24,203.38
2019-05-31,197.63
2019-06-07,205.86
2019-06-14,207.4456
2019-06-21,212.36
2019-06-28,209.83
2019-07-05,213.9396
2019-07-12,216.28
2019-07-19,213.55
2019-07-26,217.27
2019-08-02,210.16
2019-08-09,208.88
2019-08-16,207.32
2019-08-23,204.33
2019-08-30,209.93
2019-09-06,213.6
2019-09-13,215.75
2019-09-20,214.41
2019-09-27,211.17
2019-10-04,211.68
2019-10-11,213.06
2019-10-18,214.0044
2019-10-25,216.99
2019-11-01,220.73
2019-11-08,223.26
2019-11-15,225.11
2019-11-22,224.78
2019-11-29,227.64
2019-12-06,227.83
2019-12-13,229.5088
2019-12-20,233.09
2019-12-27,234.46
2020-01-03,234.58
